region,code_region,variable,groupe_age,valeur
11 - ILE-DE-France,11,ACTE(VGP),moins de 65 ans,266
11 - ILE-DE-France,11,DOSES(J07E1),moins de 65 ans,478
24 - CENTRE-VAL-DE-LOIRE,24,ACTE(VGP),moins de 65 ans,276
24 - CENTRE-VAL-DE-LOIRE,24,DOSES(J07E1),moins de 65 ans,569
27 - BOURGOGNE-FRANCHE-COMTE,27,ACTE(VGP),moins de 65 ans,225
27 - BOURGOGNE-FRANCHE-COMTE,27,DOSES(J07E1),moins de 65 ans,532
28 - NORMANDIE,28,ACTE(VGP),moins de 65 ans,314
28 - NORMANDIE,28,DOSES(J07E1),moins de 65 ans,639
32 - HAUTS-DE-France,32,ACTE(VGP),moins de 65 ans,251
32 - HAUTS-DE-France,32,DOSES(J07E1),moins de 65 ans,615
44 - GRAND-EST,44,ACTE(VGP),moins de 65 ans,233
44 - GRAND-EST,44,DOSES(J07E1),moins de 65 ans,519
52 - PAYS-DE-LA-LOIRE,52,ACTE(VGP),moins de 65 ans,258
52 - PAYS-DE-LA-LOIRE,52,DOSES(J07E1),moins de 65 ans,545
53 - BRETAGNE,53,ACTE(VGP),moins de 65 ans,294
53 - BRETAGNE,53,DOSES(J07E1),moins de 65 ans,621
75 - NOUVELLE-AQUITAINE,75,ACTE(VGP),moins de 65 ans,252
75 - NOUVELLE-AQUITAINE,75,DOSES(J07E1),moins de 65 ans,581
76 - OCCITANIE,76,ACTE(VGP),moins de 65 ans,240
76 - OCCITANIE,76,DOSES(J07E1),moins de 65 ans,506
84 - AUVERGNE-RHONE-ALPES,84,ACTE(VGP),moins de 65 ans,210
84 - AUVERGNE-RHONE-ALPES,84,DOSES(J07E1),moins de 65 ans,501
93 - PROVENCE-ALPES-COTES-D'AZUR,93,ACTE(VGP),moins de 65 ans,202
93 - PROVENCE-ALPES-COTES-D'AZUR,93,DOSES(J07E1),moins de 65 ans,493
94 - CORSE,94,ACTE(VGP),moins de 65 ans,83
94 - CORSE,94,DOSES(J07E1),moins de 65 ans,425
11 - ILE-DE-France,11,ACTE(VGP),65 ans et plus,3518
11 - ILE-DE-France,11,DOSES(J07E1),65 ans et plus,5757
24 - CENTRE-VAL-DE-LOIRE,24,ACTE(VGP),65 ans et plus,3332
24 - CENTRE-VAL-DE-LOIRE,24,DOSES(J07E1),65 ans et plus,6215
27 - BOURGOGNE-FRANCHE-COMTE,27,ACTE(VGP),65 ans et plus,2660
27 - BOURGOGNE-FRANCHE-COMTE,27,DOSES(J07E1),65 ans et plus,5948
28 - NORMANDIE,28,ACTE(VGP),65 ans et plus,3234
28 - NORMANDIE,28,DOSES(J07E1),65 ans et plus,6336
32 - HAUTS-DE-France,32,ACTE(VGP),65 ans et plus,2462
32 - HAUTS-DE-France,32,DOSES(J07E1),65 ans et plus,6093
44 - GRAND-EST,44,ACTE(VGP),65 ans et plus,2682
44 - GRAND-EST,44,DOSES(J07E1),65 ans et plus,5775
52 - PAYS-DE-LA-LOIRE,52,ACTE(VGP),65 ans et plus,2927
52 - PAYS-DE-LA-LOIRE,52,DOSES(J07E1),65 ans et plus,6052
53 - BRETAGNE,53,ACTE(VGP),65 ans et plus,2999
53 - BRETAGNE,53,DOSES(J07E1),65 ans et plus,6201
75 - NOUVELLE-AQUITAINE,75,ACTE(VGP),65 ans et plus,2801
75 - NOUVELLE-AQUITAINE,75,DOSES(J07E1),65 ans et plus,6167
76 - OCCITANIE,76,ACTE(VGP),65 ans et plus,2917
76 - OCCITANIE,76,DOSES(J07E1),65 ans et plus,5930
84 - AUVERGNE-RHONE-ALPES,84,ACTE(VGP),65 ans et plus,2630
84 - AUVERGNE-RHONE-ALPES,84,DOSES(J07E1),65 ans et plus,5807
93 - PROVENCE-ALPES-COTES-D'AZUR,93,ACTE(VGP),65 ans et plus,2585
93 - PROVENCE-ALPES-COTES-D'AZUR,93,DOSES(J07E1),65 ans et plus,5762
94 - CORSE,94,ACTE(VGP),65 ans et plus,1055
94 - CORSE,94,DOSES(J07E1),65 ans et plus,4890
11 - ILE-DE-France,11,ACTE(VGP),moins de 65 ans,262
11 - ILE-DE-France,11,DOSES(J07E1),moins de 65 ans,425
24 - CENTRE-VAL-DE-LOIRE,24,ACTE(VGP),moins de 65 ans,293
